time,open,high,low,close,volume
1524614400000,9618.96,9759.82,8730,8869.99,81110.037589
1524700800000,8869.99,9307.48,8651.62,9266,43300.304245
1524787200000,9267.03,9395,8889,8915.35,37241.347036
1524873600000,8915.35,9427.48,8870,9348,34759.62842
1524960000000,9348,9570.51,9163.74,9419,38149.850035
1525046400000,9417.04,9458.64,9124.99,9246.01,35002.033875
1525132800000,9246.01,9248.99,8800.49,9071.48,41018.463633
1525219200000,9071.48,9268,8970.2,9247.84,26123.543961
1525305600000,9247.81,9844,9168.4,9750,38768.388288
1525392000000,9750,9830.04,9520.85,9713.99,28681.588879
1525478400000,9714,10020,9682,9864,24990.018345
1525564800000,9863.99,9970,9417.03,9659.01,27690.351559
1525651200000,9661.02,9689.67,9181,9365,33787.640012
1525737600000,9365,9475.7,9060.54,9187.56,25533.831889
1525824000000,9178,9390,8965,9310,25673.524899
1525910400000,9310,9395.12,8970,9002.2,25055.063718
1525996800000,9002.21,9016.8,8341,8400,48227.048061
1526083200000,8405.94,8646.88,8153,8465.94,40241.32081
1526169600000,8475.44,8763.36,8298,8679.71,25632.869362
1526256000000,8679.71,8879.99,8277,8663.34,37389.666533
1526342400000,8663.37,8859.99,8401.3,8462,28126.956136
1526428800000,8462,8488,8083.01,8330,31130.718908
1526515200000,8330,8464,7979,8041.46,25439.844799
1526601600000,8038.82,8273.21,7911.9,8239.81,23476.158251
1526688000000,8238.01,8390.8,8095.73,8233.49,17193.424276
1526774400000,8233.49,8609,8163.9,8526.98,19957.057109
1526860800000,8526.97,8595.31,8305,8381.24,21516.596486
1526947200000,8386.89,8400.18,7935.11,7977.11,23710.902858
1527033600000,7977.12,8031.9,7425,7501.95,42910.666774
1527120000000,7501.95,7730.73,7266.99,7575.01,37845.446595
1527206400000,7578.99,7649.55,7308.15,7457,26739.95664
1527292800000,7456.99,7620,7300,7333.96,19464.086071
1527379200000,7334,7400,7231.11,7338.99,18706.945515
1527465600000,7338.99,7437,7058.02,7099,27219.438963
1527552000000,7099,7540,7032.95,7461.29,39407.21183
1527638400000,7467.98,7569,7260.5,7375.96,32041.583623
1527724800000,7382.07,7699,7327.51,7485.01,30776.063102
1527811200000,7485.01,7608.55,7355.54,7521.01,28259.124078
1527897600000,7521.01,7697.33,7437,7640.03,26720.690219
1527984000000,7636.81,7786.69,7600,7714.26,27505.158951
1528070400000,7714.26,7760.52,7446.5,7487,32258.835115
1528156800000,7487,7679.49,7358,7625,31722.973384
1528243200000,7626.64,7699,7467.05,7658.84,27229.991898
1528329600000,7658.79,7765,7620,7691.08,25062.227202
1528416000000,7691.08,7703.5,7531,7603.44,23396.804671
1528502400000,7603.44,7683.98,7450,7491.73,19339.885176
1528588800000,7491.73,7491.73,6622.81,6764.99,52342.020032
1528675200000,6765,6922,6610,6872,34552.162303
1528761600000,6872,6890.51,6435,6530,36722.211191
1528848000000,6530,6627.6,6118.68,6292.78,46185.5181
1528934400000,6292.78,6720,6260,6635.98,44478.130837
1529020800000,6638.67,6666.66,6362.31,6388.9,30018.329905
1529107200000,6380.01,6560,6320.86,6483.98,22277.241147
1529193600000,6482.5,6589.03,6422,6449.61,19847.247688
1529280000000,6444.06,6794.38,6380,6712.46,31821.434995
1529366400000,6711.39,6841.74,6653,6741.21,24311.421143
1529452800000,6740,6817.23,6551.81,6761.51,26359.752452
1529539200000,6763.21,6795,6672.57,6718.84,25428.854048
1529625600000,6717.69,6733.97,5918.94,6045,52157.370833
1529712000000,6045.92,6260,6008.48,6149.98,26622.788589
1529798400000,6149.98,6259.8,5750,6136.97,47445.998955
1529884800000,6137.95,6350,6061.97,6252,39164.515306
1529971200000,6252,6272.54,6035,6070.78,19377.240484
1530057600000,6065.89,6190.43,5971,6133.73,19225.671098
1530144000000,6134.73,6173.01,5827,5853.98,30585.266026
1530230400000,5851.01,6300,5780,6197.92,33911.287278
1530316800000,6197.92,6528.99,6186.03,6390.07,37919.61284
1530403200000,6391.08,6441.06,6251,6356.81,27562.965974
1530489600000,6360.82,6685,6271.62,6615.29,36230.452264
1530576000000,6615.29,6679.35,6463.01,6513.86,38657.781691
1530662400000,6511.01,6784.92,6441.11,6586.98,23571.892777
1530748800000,6585.53,6712,6453.33,6529.2,35071.972898
1530835200000,6529.2,6648.54,6425,6609.78,29397.094748
1530921600000,6609.79,6818.16,6508.88,6756.98,23973.876886
1531008000000,6753.48,6780,6667.44,6712.1,24622.947794
1531094400000,6712.1,6802.06,6612.24,6662.12,26732.40655
1531180800000,6662.78,6681,6263,6296.91,38560.672702
1531267200000,6296.91,6406,6278.99,6378.07,28715.498487
1531353600000,6378.07,6380.28,6070,6250.57,31306.663348
1531440000000,6251.4,6350,6110,6214.57,26375.325286
1531526400000,6214.57,6335,6178,6251.99,17783.071999
1531612800000,6250.9,6395,6225.4,6353.01,22979.211508
1531699200000,6354.15,6747.3,6330.4,6723.35,36204.87708
1531785600000,6723.33,7468.99,6652.04,7317.44,52105.423459
1531872000000,7317.44,7588.08,7225.38,7381.9,59487.64345
1531958400000,7381.88,7576.28,7270,7466.21,41218.256437
1532044800000,7468.86,7700,7273,7337.53,46140.313447
1532131200000,7337.47,7458.47,7211,7398.78,28886.490291
1532217600000,7399.25,7582.4,7335.5,7394.79,30270.21844
1532304000000,7394.78,7833,7375,7721.01,41646.346671
1532390400000,7721.65,8486,7696,8397.24,60121.163749
1532476800000,8397.24,8491.77,8050,8175.64,48257.649124
1532563200000,8175.63,8315.69,7850.06,7920,43223.481682
1532649600000,7920,8285,7805,8188.57,43671.005891
1532736000000,8188.57,8246.54,8067,8225.04,26215.173839
1532822400000,8225.04,8294.51,8115,8211,25531.226185
1532908800000,8210.99,8273,7866,8173.92,39692.416542
1532995200000,8171.4,8180,7633,7730.93,48296.915587
1533081600000,7735.67,7750,7430,7604.58,42582.312932
1533168000000,7600.08,7709.46,7455.72,7525.71,37665.696684
1533254400000,7525.71,7540,7282.44,7418.78,44669.486047
1533340800000,7412.27,7494.81,6926,7009.84,36288.42601
1533427200000,7009.84,7089.87,6882.29,7024.19,32894.849782
1533513600000,7024.19,7160,6821,6934.82,32760.191643
1533600000000,6935,7150.46,6670,6720.06,45438.473501
1533686400000,6720.63,6721.54,6123,6285,59550.536319
1533772800000,6283.27,6622.81,6178.6,6529.79,51941.185111
1533859200000,6529.79,6575.88,6026.39,6144.01,59034.974902
1533945600000,6148.13,6488,5971,6232.35,47133.418555
1534032000000,6222.55,6472.3,6130,6308.33,38567.770712
1534118400000,6308.56,6545,6145.04,6277.18,48144.763934
